Description,Price,Rating
"2020 Apple MacBook Pro (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 512GB SSD) - Silver","₹1,30,990",4.7 out of 5 stars
"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 1TB Storage, 2.3GHz 9th Gen Intel Core i9) - Silver","₹2,15,990",4.3 out of 5 stars
"2020 Apple MacBook Pro (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 256GB SSD) - Silver","₹1,12,900",4.7 out of 5 stars
"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 512GB Storage, 2.6GHz 9th Gen Intel Core i7) - Space Grey","₹1,79,990",4.5 out of 5 stars
"2019 Apple MacBook Pro (16-inch/40.65 cm, 16GB RAM, 1TB Storage, 2.3GHz 9th Gen Intel Core i9) - Space Grey","₹2,15,990",4.3 out of 5 stars
"Microsoft Surface Laptop 3 AMD Ryzen 5 15-inch (38.1 cms) Touchscreen Laptop (8GB/128GB SSD/Windows 10 Home/AMD Radeon Vega 9 Graphics/Platinum/1.54Kg), V4G-00021","₹97,503",4.1 out of 5 stars
"HP Chromebook 14a-na0002TU Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White, 35.6 cm (14 inch)","₹27,490",3.9 out of 5 stars
"ASUS ZenBook Pro Duo Intel Core i7-10750H 10th Gen 15.6"" (39.62 cm) 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB NVIDIA GeForce RTX 2060 Graphics/Blue/2.5 Kg) UX581LV-H2034T","₹2,24,494",3.7 out of 5 stars
"Mi Notebook Horizon Edition 14 Intel Core i7-10510U 10th Gen 14-inch (35.56 cms) Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg), XMA1904-AF+Webcam","₹59,490",4.4 out of 5 stars
"Microsoft Surface Laptop Go 10th Gen Intel Core i5-1035G1 12.4"" Touchscreen Laptop (8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD Graphics/Platinum/1.110 kg,25% Off on Microsoft 365), THH-00023","₹69,490",4.0 out of 5 stars
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Windows 10/MS Office/Nvidia GeForce MX450/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG0148IN","₹72,793",4.1 out of 5 stars
"MSI GF65 Thin, Intel i7-10750H, 15.6"" FHD (39.6 cm) IPS-Level 144Hz Panel Laptop (16GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX1660 Ti 6GB GDDR6/Black/1.86Kg), 10SDR-1280IN","₹81,990",3.7 out of 5 stars
"Microsoft Surface GO 2 STQ-00013 10.1"" (26.54 cms) Laptop (Gold Processor 4425Y/8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD 615 Graphics), Platinum","₹57,490",4.0 out of 5 stars
Dell Inspiron 3501 15.6 inch(39.6 cm) FHD Display Laptop (11th Gen i3-1115G4/ 8GB / 1 TB HDD/ Integrated Graphics/ Win 10 + MSO/ Soft Mint Color) D560424WIN9S,"₹44,300",3.7 out of 5 stars
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","₹59,990",4.2 out of 5 stars
"Dell Inspiron 7490 14-inch FHD Display Laptop (10th Gen i5-10210U/8GB/512GB SSD/Win 10 + MS Office/Integrated Graphics), Silver","₹69,330",3.9 out of 5 stars
"HP Pavilion 13 11th Gen Intel Core i5 13.3"" (33.78 cms) Ultra Thin FHD Laptop (16GB/512GB SSD/Win10/MS Office/Alexa Built-in/Natural Silver/1.24 Kg), 13-bb0075TU","₹69,990",4.2 out of 5 stars
"Lenovo IdeaPad Flex 5 11th Gen Intel Core i3 14"" (35.56cm) FHD IPS 2-in-1 Touchscreen Laptop (8GB/256GB SSD/Windows 10/MS Office/Lenovo Digital Pen/Fingerprint Reader/Graphite Grey/1.5Kg), 82HS008YIN","₹53,990",4.1 out of 5 stars
"Microsoft Surface Pro X 1876 13"" (33.02 cms) Laptop (Microsoft SQ1/8GB/128GB SSD/Windows 10 Home/Microsoft SQ1 Adreno 685 GPU Graphics), Matte Black","₹91,993",3.9 out of 5 stars
"Microsoft Surface Pro 7 VDV-00015 12.3"" (31.24 cms) Touchscreen 2-in-1 Laptop (10th Gen Intel Core i5/8GB/128GB SSD/Windows 10 Home/Intel Iris Plus Graphics), Platinum","₹87,000",4.0 out of 5 stars
"MSI Modern 15, Intel 10th Gen. i5-10210U, 15.6"" (39.62cms) FHD Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Carbon Grey/1.6Kg), A10M-482IN","₹52,990",3.5 out of 5 stars
"MSI Bravo 15 Ryzen 7 4800H 15.6"" (39.62cms) FHD Gaming Laptop (16GB/512GB SSD/144 Hz/Windows 10/ RX5500M,GDDR6 4GB/Black/1.86 kg), A4DDR-212IN","₹74,990",4.2 out of 5 stars
